id_juego,asignatura
1,Dirección de Proyectos
2,TIC
3,Diseño de Sistemas Productivos
3,Dirección de Operaciones
4,Dirección de Proyectos
5,Dirección Estratégica
5,Innovación
6,Dirección de Proyectos
7,Dirección de Empresas
8,Entorno Económico
9,Diseño de Sistemas Productivos
9,Dirección de Operaciones
10,Automatización Industrial
10,Sistemas de Producción Flexible
11,Diseño de Sistemas Productivos
12,Diseño de Sistemas Productivos
12,Innovación
13,Diseño de Sistemas Productivos
14,Ingeniería Económica
14,Entorno Económico
15,Diseño de Sistemas Productivos
16,Diseño de Sistemas Productivos
16,Métodos I
17,Diseño de Sistemas Productivos
18,Ingeniería de Organización
18,Dirección de Operaciones
19,Dirección Estratégica
19,Dirección de Proyectos
20,Diseño de Sistemas Productivos
21,Diseño de Sistemas Productivos
22,Empresa
23,Empresa
24,Dirección Estratégica
25,Dirección de Proyectos
26,Diseño de Sistemas Productivos
26,Dirección de Operaciones
27,Diseño de Sistemas Productivos
27,Dirección de Operaciones
28,Diseño de Sistemas Productivos
29,Diseño de Sistemas Productivos
29,Dirección de Operaciones
30,Dirección Estratégica
30,Dirección de Proyectos
31,Diseño de Sistemas Productivos
32,Diseño de Sistemas Productivos
33,Dirección de Proyectos
33,Gestión de la Información
34,Dirección de Proyectos
34,Gestión de la Información
35,Diseño de Sistemas Productivos
35,Ingeniería de Organización
36,Diseño de Sistemas Productivos
36,Dirección de Proyectos
37,Diseño de Sistemas Productivos
38,Diseño de Sistemas Productivos
38,Sistemas de Producción Flexible
39,Diseño de Sistemas Productivos
39,Ingeniería de Organización
40,Dirección de Proyectos
41,Diseño de Sistemas Productivos
42,Dirección de Proyectos
43,Ingeniería de Organización
43,Dirección de Proyectos
44,Dirección de Proyectos
44,Diseño de Sistemas Productivos
45,Estadística Empresarial
45,Ingeniería de organización
46,Diseño de Sistemas Productivos
46,Ingeniería de organización
47,Diseño de Sistemas Productivos
47,Dirección de Operaciones
48,Automatización Industrial
48,Estadística Empresarial
49,TIC
49,Diseño de Sistemas Productivos
50,Diseño de Sistemas Productivos
51,Diseño de Sistemas Productivos
52,Diseño de Sistemas Productivos
53,Diseño de Sistemas Productivos
53,Dirección de Proyectos
54,Dirección Estratégica
54,Dirección de Proyectos
55,Ingeniería de Organización
55,Estadística Empresarial
56,Dirección de Operaciones
56,Diseño de Sistemas Productivos
57,Diseño de Sistemas Productivos
58,Dirección de Proyectos
58,Dirección Estratégica
141,Cualquiera
59,Dirección de Proyectos
59,Dirección Estratégica
60,Empresa
60,Dirección Estratégica
61,Estadística Empresarial
61,Diseño de Sistemas Productivos
62,Diseño de Sistemas Productivos
62,Ingeniería de Organización
63,Diseño de Sistemas Productivos
63,Ingeniería de Organización
64,Diseño de Sistemas Productivos
64,Dirección de Proyectos
65,Estadística Empresarial
66,Ingeniería de Organización
66,Dirección de Operaciones
67,Dirección Estratégica
67,Dirección de Proyectos
68,Dirección de Proyectos
68,Dirección Estratégica
69,Diseño de Sistemas Productivos
70,Ingeniería de Organización
70,Dirección de Proyectos
71,Dirección de Proyectos
71,Dirección Estratégica
72,Dirección de Proyectos
72,Dirección Estratégica
73,Dirección de Proyectos
73,Dirección Estratégica
74,Dirección Estratégica
74,Dirección de Proyectos
75,Dirección Estratégica
75,Dirección de Proyectos
76,Dirección de Proyectos
76,Dirección Estratégica
77,Dirección de Proyectos
77,Dirección Estratégica
78,Dirección de Proyectos
78,Diseño de Sistemas Productivos
79,Dirección de Proyectos
79,Diseño de Sistemas Productivos
80,Dirección Estratégica
80,Dirección de Proyectos
81,Dirección de Proyectos
81,Diseño de Sistemas Productivos
82,Dirección de Proyectos
82,Diseño de Sistemas Productivos
83,Innovación
84,Dirección de Proyectos
84,Dirección Estratégica
85,Dirección de Proyectos
85,Dirección Estratégica
86,Diseño de Sistemas Productivos
86,TIC
87,Dirección Estratégica
87,Dirección de Proyectos
88,Dirección de Proyectos
88,Dirección Estratégica
89,Dirección de Proyectos
89,Dirección Estratégica
90,Dirección de Proyectos
90,Diseño de Sistemas Productivos
91,Dirección de Proyectos
91,Diseño de Sistemas Productivos
92,Dirección de Proyectos
92,Dirección Estratégica
93,Dirección de Proyectos
93,Diseño de Sistemas Productivos
94,Dirección de Proyectos
94,Dirección Estratégica
95,Diseño de Sistemas Productivos
95,Dirección de Proyectos
96,Diseño de Sistemas Productivos
96,Dirección Estratégica
97,Dirección de Proyectos
97,Dirección Estratégica
98,Innovación
98,Dirección de Proyectos
99,Diseño de Sistemas Productivos
99,Dirección de Proyectos
100,Dirección Estratégica
100,Innovación
101,Dirección de Proyectos
101,Gestión de la Información
102,Diseño de Sistemas Productivos
102,Dirección de Proyectos
103,TIC
103,Empresa
104,Dirección de Proyectos
104,Diseño de Sistemas Productivos
105,Dirección de Proyectos
106,Ingeniería de Organización
106,Dirección de Proyectos
107,Dirección de Proyectos
108,Dirección de Proyectos
108,TIC
109,Dirección de Proyectos
109,Gestión de la Información
110,Dirección Estratégica
110,Dirección de Proyectos
111,Dirección de Proyectos
111,Dirección de Empresas
112,Dirección de Empresas
112,Dirección de Proyectos
113,Dirección de Empresas
113,Dirección de Proyectos
114,Dirección de Proyectos
114,Dirección Estratégica
115,TIC
115,Dirección de Proyectos
116,Dirección de Proyectos
117,Diseño de Sistemas Productivos
117,Dirección de Operaciones
118,Dirección de Empresas
119,Dirección de Empresas
120,Diseño de Sistemas Productivos
120,Dirección de Operaciones
121,Dirección de Proyectos
121,Gestión de la Información
122,Innovación
123,Dirección de Empresas
140,Cualquiera
139,TIC
139,Cualquiera
138,TIC
138,Cualquiera
126,Dirección de Proyectos
126,Dirección Estratégica
127,Dirección de Proyectos
