id_juego,keyword
1,Proyecto
1,Softskills
1,Equipo
1,Gestión
1,Prince2
1,E-Learning
1,Project
1,Team
1,Management
2,Buenas Prácticas
2,IT
2,Good Practices
2,TI
3,Lean
3,Calidad
3,Quality
4,Scrum
4,Pila De Producto
4,Product Backlog
5,TI
5,Tormenta De Ideas
5,Análisis Rápido
5,IT
5,Brainstorming
5,Quickscan
6,Simulación
6,Scrum
6,Equipo
6,Cascada
6,Tiempo
6,Simulation
6,Team
6,Waterfall
6,Time
7,Simulación
7,Gestión
7,Mercado
7,Contabilidad
7,Simulation
7,Management
7,Market
7,Accounting
8,Estrategia
8,Teoría De Juegos
8,Strategy
8,Games Theory
9,5S
9,Puzle
9,Lean
9,Logística
9,Logistics
10,Lean
10,SMED
10,Simulación
10,Máquina
10,Simulation
10,Machine
11,Diseño
11,Flujo De Una Sola Pieza
11,Kanban
11,Layout
11,One Piece Flow
12,Diagrama De Espina De Pez
12,Tormenta De Ideas
12,Seis Sigma
12,Doe
12,Fishbone Diagrams
12,Brainstorming
12,Six Sigma
13,Análisis De Pareto
13,Calidad
13,Pareto Analysis
13,Quality
14,Lean
14,Negocio
14,Finanzas
15,6S
15,5S
15,Lean
16,5S
16,Números
16,Caos
16,Orden
16,Logística
16,Numbers
16,Chaos
16,Order
16,Logistics
17,5S
17,LEGO
18,Cadena
18,Suministro
18,Cerveza
18,Inventario
18,Efecto Látigo
18,Mit
18,Supply Chain
18,Beer
18,Stock
18,Whip Effect
19,Gerente
19,Recursos
19,Estrategia
19,Liderazgo
19,Multijugador
19,Competición
19,E-Learning
19,Managing
19,Resources
19,Strategy
19,Leadership
19,Multiplayer
19,Competition
20,5S
20,Abecedario
20,Alphabet
21,Lean
21,Proyecto
21,Gestión
21,Project
21,Management
22,Adam Smith
22,Precio
22,Valor
22,Price
22,Value
23,Adam Smith
23,Sociedad
23,Bien Común
23,Individualismo
23,Mercado
23,Society
23,Comun Benefict
23,Individualism
23,Market
24,E-Learning
24,Gestión
24,Comercio
24,Consultoría
24,Management
24,Commerce
24,Business Consulting
25,Proyecto
25,Director
25,Simulación
25,Liderazgo
25,Habilidad
25,E-Learning
25,Project
25,Manager
25,Simulation
25,Leadership
25,Skills
26,Lean
26,Kanban
26,Esperas
26,Delay
27,Lean
27,SMED
27,5S
28,Células De Producción
28,Kanban
28,Lean
28,Distribución Por Talleres
28,Production Cells
28,Distribution By Workshops
29,Kanban
29,Flow
29,Tirar
29,Flujo
29,Pull
30,Trabajo En Equipo
30,Liderazgo
30,Estrategia
30,Teamwork
30,Leadership
30,Strategy
31,5S
32,Supply Chain
32,Lean
32,Talk Time
32,Value Stream Mapping
32,Cadena De Suministro
32,Tiempo De Hablar
32,Mapeo De La Corriente
33,Riesgos
33,Laborales
33,Simulación
33,Prevención
33,Risk
33,Working
33,Simulation
33,Prevention
34,Riesgos
34,Laborales
34,Conflictos
34,Simulación
34,Online
34,Risk
34,Working
34,Conflicts
34,Simulation
34,Prevention
35,Cadena De Suministro
35,Justo A Tiempo
35,Simulación
35,En Línea
35,Supply Chain
35,Just In Time
35,Simulation
35,Online
36,5 Pasos De Enfoque
36,Teoría De Las Restricciones
36,Lean
36,Técnicas Ágiles
36,5 Focusing Steps
36,Theory Of Constraints
36,Agile
37,Wip
37,Trabajo En Proceso
37,Lean
37,Work In Process
38,Scrum
38,Técnicas Ágiles
38,Agile
39,Kanban
39,Empujar
39,Tirar
39,Lean
39,Push
39,Pull
40,Liderazgo
40,Equipo
40,Scrum
40,Leadership
40,Team
41,Flujo De Una Sola Pieza
41,Lean
41,Lote Y Cola
41,One Piece Flow
41,Batch & Queue
42,Scrum
42,Imprimir Y Jugar
42,Print And Play
43,Wip
43,Multitarea
43,Tiempo
43,Multitask
43,Time
44,Kanban
44,Lean
44,Ágil
44,Agile
45,Seis Sigma
45,Lean
45,Six Sigma
46,Scrum
46,Ágil
46,Lean
46,PDCA
46,Trabajo En Equipo
46,Agile
46,Team Building
47,Lean
47,Logística
47,Toyota
47,Logistics
48,RTY
48,Rendimiento De Procesamiento Laminado
48,Lean
48,Seis Sigma
48,Rolled Throughtput Yield
48,Six Sigma
49,Lean
49,Kaizen
49,Push
49,Pull
50,Lean
50,Kanban
51,Lotes
51,Flujo De Una Sola Pieza
51,Lean
51,Batch
51,One Piece Flow
52,Kanban
52,Pizza
52,Lean
52,Ágil
52,Agile
53,LEGO
53,Scrum
53,Ágil
53,Agile
54,Lista De Interesados
54,Valor Comercial
54,Cartera De Pedidos De Producto
54,Stakeholders
54,Business Value
54,Product Backlog
55,Poker
55,Tareas
55,Estimación
55,Tasks
55,Estimation
56,Juego
56,Lean
56,Software
56,Bicicleta
56,Game
56,Bicycle
57,Six Sigma
57,Video
57,Game
57,Seis Sigma
57,Vídeo
57,Juego
58,Trabajo En Equipo
58,Lip Dub
58,Actividades Para La Empresa
58,Team Building
58,Activities For The Company
141,Dirección De Proyectos
141,Dirección Estratégica
141,Dirección De Operaciones
141,Gice
141,SIGE
141,Dirección De Empresas
141,Entorno Económico
141,Automatización Industrial
141,Diseño De Sistemas Productivos
141,TICs
141,Métodos cuantitativos
141,Ingeniería Económica
141,Estad...
141,NA
59,Trabajo En Equipo
59,Olimpiadas Empresariales
59,Actividades Para La Empresa
59,Team Building
59,Business Olympics
59,Activities For Company
60,Trabajo En Equipo
60,Actividades Para La Empresa
60,Huevo
60,Team Building
60,Activities For Company
60,Egg
61,Seis Sigma
61,Teoría De Las Restricciones
61,Lean
61,Six Sigma
61,Theory Of Constraints
62,Lean
62,Cuellos De Botella
62,Calidad
62,Proyecto
62,Bottleneck
62,Quality
62,Project
63,Lean
63,Caja
63,Cuellos De Botella
63,Teoría De Las Restricciones
63,Box
63,Bottleneck
63,Theory Of Constraints
64,Mapeo De Flujo
64,5S
64,8 Desperdicios
64,Value Stream Mapping
64,8 Wastes
65,Six Sigma
65,Doe
65,Variability
65,Seis Sigma
65,Variabilidad
66,Lean
66,Trabajo Equilibrado
66,Vídeo
